Index,Value,Time,Iterations
1,572292,2.2900057956576347e-05,14
2,194717,1.6999896615743637e-05,16
3,243512,1.5900004655122757e-05,14
4,345008,1.0499963536858559e-05,13
5,33442,2.110004425048828e-05,12
6,305782,1.5799887478351593e-05,12
7,298121,3.600027412176132e-06,12
8,900106,6.3999323174357414e-06,14
9,634988,3.900029696524143e-06,11
10,571267,3.899913281202316e-06,9
11,600170,5.300040356814861e-06,12
12,869880,5.100038833916187e-06,13
13,962088,3.500026650726795e-06,12
14,640706,4.100031219422817e-06,12
15,271630,5.299923941493034e-06,12
16,102905,1.279998105019331e-05,16
17,492706,5.100038833916187e-06,12
18,591540,3.8000289350748062e-06,12
19,113271,5.400041118264198e-06,14
20,326990,3.400025889277458e-06,12
21,251177,4.900037311017513e-06,12
22,907826,8.00006091594696e-06,14
23,329052,5.100038833916187e-06,12
24,71227,1.2599979527294636e-05,20
25,882139,7.100054062902927e-06,14
26,685882,5.09992241859436e-06,12
27,817284,5.700043402612209e-06,12
28,704164,5.00003807246685e-06,12
29,285485,7.899943739175797e-06,14
30,556002,1.0499963536858559e-05,18
31,365150,1.1199968867003918e-05,18
32,804940,6.5999338403344154e-06,14
33,959790,8.199946023523808e-06,14
34,879955,6.299931555986404e-06,12
35,658258,1.9000028260052204e-05,14
36,315363,5.900044925510883e-06,13
37,728632,9.899958968162537e-06,16
38,139859,6.299931555986404e-06,14
39,878992,3.200024366378784e-06,12
40,147712,1.0699965059757233e-05,12
41,685076,6.200047209858894e-06,12
42,473519,5.899928510189056e-06,12
43,123590,1.0999967344105244e-05,16
44,603891,7.5999414548277855e-06,14
45,99686,7.79994297772646e-06,14
46,141155,5.899928510189056e-06,8
47,982083,8.79995059221983e-06,14
48,306672,7.999944500625134e-06,13
49,134735,7.800059393048286e-06,14
50,957221,7.200054824352264e-06,11
51,403658,8.00006091594696e-06,10
52,680619,8.200062438845634e-06,14
53,689181,6.200047209858894e-06,16
54,624967,6.09993003308773e-06,12
55,627463,5.599926225841045e-06,11
56,872229,4.600035026669502e-06,12
57,952661,6.6999346017837524e-06,12
58,603248,5.199923180043697e-06,12
59,304790,3.400025889277458e-06,12
60,334440,6.9999368861317635e-06,14
61,356294,6.3999323174357414e-06,14
62,646585,5.800044164061546e-06,13
63,604503,5.500041879713535e-06,14
64,54649,2.600019797682762e-06,10
65,694100,2.300017513334751e-06,12
66,84480,3.8000289350748062e-06,14
67,816012,5.299923941493034e-06,18
68,660217,2.500019036233425e-06,13
69,297789,3.500026650726795e-06,15
70,812162,5.199923180043697e-06,22
71,54693,3.200024366378784e-06,14
72,125372,4.899920895695686e-06,18
73,313041,2.300017513334751e-06,12
74,573576,3.00002284348011e-06,14
75,37056,3.00002284348011e-06,14
76,879731,2.600019797682762e-06,14
77,722917,3.00002284348011e-06,12
78,970153,3.600027412176132e-06,16
79,50493,2.700020559132099e-06,14
80,394484,2.400018274784088e-06,12
81,757996,3.500026650726795e-06,14
82,505233,3.1999079510569572e-06,14
83,180056,2.800021320581436e-06,14
84,84241,2.900022082030773e-06,14
85,717239,2.399901859462261e-06,12
86,777023,3.00002284348011e-06,13
87,735861,2.900022082030773e-06,14
88,752654,2.300017513334751e-06,12
89,696186,2.500019036233425e-06,14
90,366832,2.600019797682762e-06,14
91,600565,2.500019036233425e-06,11
92,100085,2.299901098012924e-06,12
93,178209,2.400018274784088e-06,12
94,524145,2.300017513334751e-06,7
95,904476,3.300025127828121e-06,14
96,855724,3.00002284348011e-06,14
97,721773,2.600019797682762e-06,13
98,760830,2.900022082030773e-06,14
99,858079,2.09989957511425e-06,12
100,855160,2.500019036233425e-06,12
101,622561,2.200016751885414e-06,12
102,258718,2.100015990436077e-06,12
103,211214,2.399901859462261e-06,12
104,710161,2.900022082030773e-06,13
105,845507,2.700020559132099e-06,14
106,285154,2.200016751885414e-06,12
107,140769,2.00001522898674e-06,12
108,942922,5.300040356814861e-06,16
109,834641,3.7999125197529793e-06,14
110,641422,3.500026650726795e-06,13
111,508785,4.400033503770828e-06,12
112,218765,4.100031219422817e-06,12
113,246302,3.700028173625469e-06,12
114,356877,4.700035788118839e-06,12
115,982838,4.00003045797348e-06,12
116,376830,3.600027412176132e-06,12
117,608634,5.100038833916187e-06,14
118,166320,3.6999117583036423e-06,12
119,87558,4.500034265220165e-06,14
120,241708,3.2999087125062943e-06,10
121,488756,5.100038833916187e-06,14
122,270182,3.6999117583036423e-06,12
123,904742,3.500026650726795e-06,16
124,236069,2.700020559132099e-06,11
125,341454,3.100023604929447e-06,13
126,877662,5.700043402612209e-06,19
127,71393,2.499902620911598e-06,12
128,922061,2.800021320581436e-06,14
129,220192,2.500019036233425e-06,12
130,162944,3.600027412176132e-06,16
131,938583,2.400018274784088e-06,11
132,550104,2.500019036233425e-06,12
133,768200,2.500019036233425e-06,12
134,762664,2.399901859462261e-06,12
135,32443,3.100023604929447e-06,14
136,183891,3.300025127828121e-06,15
137,415587,2.7999049052596092e-06,12
138,204653,2.600019797682762e-06,12
139,942895,3.00002284348011e-06,14
140,84860,2.299901098012924e-06,12
141,973805,2.00001522898674e-06,12
142,631741,2.00001522898674e-06,10
143,601069,1.9000144675374031e-06,12
144,572597,2.199900336563587e-06,12
145,398652,2.100015990436077e-06,12
146,486209,2.400018274784088e-06,12
147,660487,4.300032742321491e-06,18
148,562284,2.500019036233425e-06,14
149,848387,2.100015990436077e-06,12
150,658973,2.00001522898674e-06,12
151,840339,5.299923941493034e-06,20
152,792707,5.100038833916187e-06,20
153,299176,2.500019036233425e-06,14
154,619611,2.100015990436077e-06,12
155,944505,3.100023604929447e-06,13
156,915719,2.100015990436077e-06,12
157,810243,1.999898813664913e-06,10
158,345567,4.900037311017513e-06,20
159,263963,2.200016751885414e-06,12
160,584708,3.7999125197529793e-06,16
161,846917,2.200016751885414e-06,10
162,900486,3.600027412176132e-06,16
163,198618,2.500019036233425e-06,13
164,988317,2.200016751885414e-06,12
165,290271,1.9000144675374031e-06,9
166,993931,2.200016751885414e-06,12
167,683570,4.899920895695686e-06,20
168,767959,2.00001522898674e-06,12
169,629007,2.600019797682762e-06,14
170,665856,2.299901098012924e-06,12
171,229227,2.00001522898674e-06,12
172,131348,2.600019797682762e-06,14
173,421955,3.400025889277458e-06,16
174,844084,3.300025127828121e-06,16
175,89764,2.00001522898674e-06,12
176,467772,4.300032742321491e-06,18
177,703139,3.300025127828121e-06,16
178,919279,2.100015990436077e-06,12
179,728152,2.400018274784088e-06,14
180,16484,2.199900336563587e-06,12
181,135949,2.400018274784088e-06,14
182,662854,3.300025127828121e-06,16
183,405079,2.00001522898674e-06,12
184,285803,1.8998980522155762e-06,12
185,611721,3.400025889277458e-06,15
186,369958,3.900029696524143e-06,16
187,200379,1.999898813664913e-06,12
188,848691,2.00001522898674e-06,12
189,966069,2.00001522898674e-06,12
190,779305,3.600027412176132e-06,16
191,593288,3.999914042651653e-06,18
192,125369,2.00001522898674e-06,12
193,953989,2.600019797682762e-06,14
194,145290,1.999898813664913e-06,10
195,288388,3.00002284348011e-06,14
196,928191,2.900022082030773e-06,14
197,416250,2.700020559132099e-06,13
198,435167,2.600019797682762e-06,14
199,248705,4.200031980872154e-06,18
200,341020,2.100015990436077e-06,12
201,323143,2.299901098012924e-06,12
202,674418,2.500019036233425e-06,12
203,711135,2.500019036233425e-06,14
204,955636,2.200016751885414e-06,12
205,931064,2.100015990436077e-06,12
206,308612,4.700035788118839e-06,16
207,991320,4.399917088449001e-06,12
208,144535,4.800036549568176e-06,15
209,274563,3.0999071896076202e-06,12
210,604909,4.500034265220165e-06,12
211,659988,6.3999323174357414e-06,14
212,618554,8.199946023523808e-06,16
213,426016,4.400033503770828e-06,14
214,528823,3.600027412176132e-06,12
215,582805,3.500026650726795e-06,12
216,54244,3.900029696524143e-06,11
217,881619,4.200031980872154e-06,12
218,24933,5.100038833916187e-06,12
219,445145,8.399947546422482e-06,16
220,612407,1.079996582120657e-05,16
221,891483,1.0399962775409222e-05,18
222,382468,5.899928510189056e-06,14
223,966236,6.8999361246824265e-06,14
224,583053,6.100046448409557e-06,14
225,58913,4.199915565550327e-06,12
226,133463,6.300047971308231e-06,16
227,250386,3.8000289350748062e-06,12
228,443511,5.400041118264198e-06,16
229,768340,3.8000289350748062e-06,12
230,741454,5.00003807246685e-06,14
231,334306,6.6999346017837524e-06,16
