Index,Value,Time,Iterations
1,383214,8.200062438845634e-06,1
2,970684,6.900052540004253e-06,3
3,59171,1.1299969628453255e-05,4
4,854653,2.900022082030773e-06,4
5,626396,1.0299962013959885e-05,5
6,362523,1.800013706088066e-06,4
7,931994,1.700012944638729e-06,4
8,228956,1.1599971912801266e-05,6
9,729031,2.00001522898674e-06,5
10,74817,1.800013706088066e-06,5
11,925241,4.799920134246349e-06,6
12,373298,1.700012944638729e-06,5
13,127296,3.899913281202316e-06,6
14,724431,8.699949830770493e-06,7
15,607581,2.00001522898674e-06,5
16,853123,1.8998980522155762e-06,5
17,978797,1.800013706088066e-06,5
18,45776,1.600012183189392e-06,5
19,974596,4.00003045797348e-06,6
20,318364,9.7999582067132e-06,8
21,752501,4.09991480410099e-06,7
22,557588,6.600050255656242e-06,8
23,894770,2.100015990436077e-06,6
24,770146,2.00001522898674e-06,6
25,874215,9.500072337687016e-06,9
26,333301,2.00001522898674e-06,6
27,842768,4.09991480410099e-06,7
28,759854,2.00001522898674e-06,6
29,233173,3.899913281202316e-06,7
30,796587,6.900052540004253e-06,8
31,897485,1.9000144675374031e-06,6
32,409319,1.8998980522155762e-06,6
33,734449,2.00001522898674e-06,6
34,756362,1.9000144675374031e-06,6
35,336914,1.9000144675374031e-06,6
36,104159,1.9000144675374031e-06,6
37,870879,2.00001522898674e-06,6
38,196274,3.900029696524143e-06,7
39,948667,1.9000144675374031e-06,6
40,682307,1.9000144675374031e-06,6
41,384430,3.900029696524143e-06,7
42,427399,2.00001522898674e-06,6
43,982275,2.00001522898674e-06,6
44,238345,1.800013706088066e-06,6
45,383581,2.00001522898674e-06,6
46,783632,1.9000144675374031e-06,6
47,690557,1.170008908957243e-05,10
48,168543,2.400018274784088e-06,7
49,772433,4.09991480410099e-06,8
50,131804,6.800051778554916e-06,9
51,167379,2.200016751885414e-06,7
52,783778,2.200016751885414e-06,7
53,574515,4.400033503770828e-06,8
54,562941,2.199900336563587e-06,7
55,833729,8.899951353669167e-06,9
56,989300,4.400033503770828e-06,8
57,711122,2.200016751885414e-06,7
58,241708,9.299954399466515e-06,10
59,678206,2.300017513334751e-06,7
60,205732,2.199900336563587e-06,7
61,313954,2.200016751885414e-06,7
62,653039,4.09991480410099e-06,8
63,36887,6.5999338403344154e-06,8
64,248652,4.600035026669502e-06,8
65,80807,2.300017513334751e-06,7
66,229375,2.300017513334751e-06,7
67,687059,6.700051017105579e-06,9
68,67556,2.300017513334751e-06,7
69,311844,2.300017513334751e-06,7
70,215163,3.999914042651653e-06,8
71,449329,2.400018274784088e-06,7
72,337553,4.09991480410099e-06,8
73,922536,4.300032742321491e-06,8
74,649761,2.300017513334751e-06,7
75,841758,2.300017513334751e-06,7
76,663395,2.300017513334751e-06,7
77,892771,6.09993003308773e-06,9
78,705333,2.400018274784088e-06,7
79,164756,6.4999330788850784e-06,9
80,621959,4.200031980872154e-06,8
81,546365,1.1699972674250603e-05,11
82,26186,2.300017513334751e-06,7
83,159260,2.399901859462261e-06,7
84,877662,2.300017513334751e-06,7
85,886483,4.199915565550327e-06,8
86,326149,2.300017513334751e-06,7
87,767600,4.100031219422817e-06,8
88,377552,2.300017513334751e-06,7
89,200364,2.200016751885414e-06,7
90,808772,5.09992241859436e-06,8
91,347219,2.300017513334751e-06,7
92,26988,1.079996582120657e-05,10
93,678954,8.400063961744308e-06,9
94,241185,3.900029696524143e-06,7
95,950727,2.859998494386673e-05,10
96,4790,5.299923941493034e-06,7
97,156745,8.899951353669167e-06,8
98,394289,1.1999974958598614e-05,8
99,275895,1.5700003132224083e-05,9
100,29919,3.6999117583036423e-06,7
101,931403,3.600027412176132e-06,7
102,603591,9.599956683814526e-06,8
103,775639,4.499917849898338e-06,7
104,889027,3.900029696524143e-06,7
105,443562,3.00002284348011e-06,7
106,346528,2.780009526759386e-05,12
107,964849,3.8000289350748062e-06,8
108,911414,6.800051778554916e-06,8
109,984031,4.09991480410099e-06,8
110,990372,6.4999330788850784e-06,9
111,882800,5.200039595365524e-06,8
112,945493,5.199923180043697e-06,8
113,445485,1.0699965059757233e-05,10
114,563975,3.4999102354049683e-06,8
115,373369,5.600042641162872e-06,9
116,251271,3.200024366378784e-06,8
117,561079,1.479999627918005e-05,11
118,502761,3.8000289350748062e-06,8
119,763979,3.300025127828121e-06,8
120,711593,7.4999406933784485e-06,9
121,557334,7.200054824352264e-06,9
122,532871,3.600027412176132e-06,8
123,481736,1.009996049106121e-05,10
124,857206,3.999914042651653e-06,8
125,335722,7.1999384090304375e-06,9
126,921577,7.999944500625134e-06,9
127,696157,4.199915565550327e-06,8
128,345622,4.299916326999664e-06,8
129,368354,4.200031980872154e-06,8
130,848219,4.400033503770828e-06,8
131,179299,7.500057108700275e-06,9
132,446686,4.300032742321491e-06,8
133,800011,3.700028173625469e-06,8
134,201983,4.900037311017513e-06,8
135,605421,4.400033503770828e-06,8
136,376588,4.899920895695686e-06,8
137,546689,3.700028173625469e-06,8
138,35847,7.900060154497623e-06,9
139,392953,3.400025889277458e-06,8
140,772242,7.900060154497623e-06,9
141,500575,5.500041879713535e-06,8
142,796103,3.8000289350748062e-06,8
143,276496,7.0999376475811005e-06,9
144,415820,4.599918611347675e-06,8
145,783765,1.9700033590197563e-05,12
146,11291,1.2399978004395962e-05,10
147,931547,1.079996582120657e-05,10
148,300190,5.199923180043697e-06,8
149,480272,7.899943739175797e-06,9
150,307214,1.2500095181167126e-05,10
151,88958,8.499948307871819e-06,9
152,145290,4.999921657145023e-06,8
153,76460,4.899920895695686e-06,8
154,850939,1.3299984857439995e-05,10
155,639897,4.900037311017513e-06,8
156,421816,8.300063200294971e-06,9
157,359389,5.300040356814861e-06,8
158,804790,8.300063200294971e-06,9
159,550709,8.00006091594696e-06,9
160,885947,1.650000922381878e-05,11
161,161813,4.899920895695686e-06,8
162,992365,4.299916326999664e-06,8
163,916949,5.199923180043697e-06,8
164,377068,1.5600002370774746e-05,10
165,588963,8.500064723193645e-06,9
166,483643,5.100038833916187e-06,8
167,224917,4.400033503770828e-06,8
168,169985,5.200039595365524e-06,8
169,356424,5.899928510189056e-06,9
170,295411,5.09992241859436e-06,8
171,61959,1.4499993994832039e-05,11
172,422149,4.999921657145023e-06,8
173,823793,5.399924702942371e-06,8
174,76367,8.899951353669167e-06,9
175,524145,2.700020559132099e-06,8
176,784526,2.6999041438102722e-06,8
177,387679,4.700035788118839e-06,9
178,37092,4.600035026669502e-06,8
179,383199,4.400033503770828e-06,8
180,502906,2.4099950678646564e-05,13
181,47885,4.699919372797012e-06,8
182,905629,3.500026650726795e-06,8
183,249872,2.900022082030773e-06,8
184,134612,6.09993003308773e-06,10
185,180981,1.0800082236528397e-05,12
186,888547,7.400056347250938e-06,9
187,292931,7.400056347250938e-06,9
188,418328,5.300040356814861e-06,8
189,513431,3.8000289350748062e-06,8
190,129261,2.500019036233425e-06,8
191,210662,8.100061677396297e-06,9
192,7343,4.400033503770828e-06,8
193,996854,1.0599964298307896e-05,10
194,966602,8.70006624609232e-06,9
195,869062,4.300032742321491e-06,9
196,439339,6.9999368861317635e-06,10
197,572182,3.8000289350748062e-06,8
198,599080,2.399901859462261e-06,8
199,48034,4.300032742321491e-06,9
200,544898,2.200016751885414e-06,8
201,414349,4.00003045797348e-06,9
202,536450,3.900029696524143e-06,9
203,339973,8.100061677396297e-06,11
204,857355,2.199900336563587e-06,8
205,931467,2.200016751885414e-06,8
206,96700,2.200016751885414e-06,8
207,954445,2.399901859462261e-06,8
208,933362,9.70007386058569e-06,12
209,392935,2.100015990436077e-06,8
210,311341,2.100015990436077e-06,8
211,484063,3.5999109968543053e-06,9
212,952841,3.600027412176132e-06,9
213,657868,2.300017513334751e-06,8
214,429087,2.300017513334751e-06,8
215,429026,6.4999330788850784e-06,9
216,541458,2.300017513334751e-06,8
217,743340,5.700043402612209e-06,10
218,321377,2.200016751885414e-06,8
219,644564,3.8000289350748062e-06,9
220,326187,3.8000289350748062e-06,9
221,211766,2.400018274784088e-06,8
222,547278,2.09989957511425e-06,8
223,730876,2.300017513334751e-06,8
224,61227,2.300017513334751e-06,8
225,548881,5.500041879713535e-06,10
226,867775,5.600042641162872e-06,10
227,234037,3.8000289350748062e-06,9
228,697894,9.399955160915852e-06,11
229,513550,1.1199968867003918e-05,10
230,759589,5.299923941493034e-06,8
