Index,Value,Found,Time,Iterations
1,586938,True,9.499955922365189e-06,10
2,388667,True,3.300025127828121e-06,11
3,127041,True,2.700020559132099e-06,11
4,658947,True,1.200009137392044e-06,6
5,572934,True,1.600012183189392e-06,8
6,734299,True,3.1999079510569572e-06,11
7,83870,True,2.300017513334751e-06,11
8,884683,True,2.400018274784088e-06,11
9,488602,True,2.300017513334751e-06,10
10,734003,True,1.500011421740055e-06,9
11,711122,True,1.00000761449337e-06,5
12,8769,True,2.200016751885414e-06,10
13,283032,True,2.100015990436077e-06,9
14,7343,True,1.400010660290718e-06,8
15,124789,True,2.200016751885414e-06,11
16,284923,True,2.00001522898674e-06,11
17,744750,True,2.00001522898674e-06,10
18,586794,True,1.9000144675374031e-06,11
19,148732,True,2.300017513334751e-06,11
20,312463,True,2.200016751885414e-06,11
21,865760,True,2.200016751885414e-06,11
22,151231,True,1.800013706088066e-06,10
23,991073,True,2.500019036233425e-06,11
24,847799,True,2.400018274784088e-06,11
25,254795,True,1.7998972907662392e-06,10
26,811469,True,2.500019036233425e-06,11
27,836565,True,1.9000144675374031e-06,10
28,951818,True,2.100015990436077e-06,10
29,504458,True,2.199900336563587e-06,11
30,115381,True,2.200016751885414e-06,11
31,705062,True,2.200016751885414e-06,11
32,390912,True,1.500011421740055e-06,9
33,228210,True,3.00002284348011e-06,11
34,678206,True,1.00000761449337e-06,6
35,80351,True,1.9000144675374031e-06,11
36,480648,True,2.00001522898674e-06,10
37,189651,True,1.500011421740055e-06,9
38,463409,True,1.9000144675374031e-06,11
39,889501,True,1.9000144675374031e-06,11
40,628307,True,2.100015990436077e-06,11
41,149417,True,1.700012944638729e-06,10
42,195373,True,1.9000144675374031e-06,11
43,262301,True,1.800013706088066e-06,10
44,785694,True,2.00001522898674e-06,11
45,156664,True,1.7998972907662392e-06,10
46,665291,True,2.00001522898674e-06,11
47,667902,True,1.9000144675374031e-06,11
48,45334,True,2.800021320581436e-06,11
49,249118,True,1.2998934835195541e-06,8
50,283543,True,2.00001522898674e-06,11
51,605046,True,1.9000144675374031e-06,11
52,336066,True,1.600012183189392e-06,9
53,586951,True,1.8998980522155762e-06,11
54,234670,True,1.9000144675374031e-06,11
55,25469,True,2.100015990436077e-06,11
56,451853,True,2.00001522898674e-06,11
57,775344,True,1.999898813664913e-06,11
58,632452,True,1.9000144675374031e-06,11
59,231359,True,2.00001522898674e-06,11
60,421411,True,1.9000144675374031e-06,10
61,398383,True,2.00001522898674e-06,11
62,152931,True,1.600012183189392e-06,10
63,768771,True,1.800013706088066e-06,10
64,883614,True,1.400010660290718e-06,8
65,968910,True,2.100015990436077e-06,10
66,497625,True,2.00001522898674e-06,11
67,894878,True,1.800013706088066e-06,10
68,138381,True,1.800013706088066e-06,11
69,730827,True,2.100015990436077e-06,11
70,699340,True,1.9000144675374031e-06,11
71,267000,True,1.600012183189392e-06,10
72,982207,True,2.00001522898674e-06,11
73,373127,True,1.600012183189392e-06,9
74,210939,True,1.8998980522155762e-06,11
75,827879,True,1.800013706088066e-06,11
76,853897,True,1.9000144675374031e-06,11
77,216110,True,2.00001522898674e-06,10
78,994281,True,1.3998942449688911e-06,9
79,681640,True,1.600012183189392e-06,9
80,817371,True,1.800013706088066e-06,10
81,26443,True,1.700012944638729e-06,10
82,577692,True,1.600012183189392e-06,10
83,493917,True,2.00001522898674e-06,11
84,871312,True,2.00001522898674e-06,11
85,71639,True,1.600012183189392e-06,9
86,575124,True,1.500011421740055e-06,9
87,327426,True,1.7998972907662392e-06,11
88,266854,True,1.9000144675374031e-06,11
89,515715,True,1.700012944638729e-06,10
90,497965,True,1.9000144675374031e-06,11
91,576154,True,2.199900336563587e-06,11
92,330543,True,1.700012944638729e-06,10
93,836910,True,1.700012944638729e-06,10
94,613976,True,1.800013706088066e-06,11
95,943814,True,1.700012944638729e-06,10
96,931547,True,1.800013706088066e-06,9
97,697894,True,9.00006853044033e-07,5
98,505922,True,1.9000144675374031e-06,11
99,523824,True,1.800013706088066e-06,10
100,989232,True,1.8998980522155762e-06,11
